total;ano;mes;ano_mes
66812;2009;1;200901
66680;2009;2;200902
73943;2009;3;200903
71142;2009;4;200904
74152;2009;5;200905
71346;2009;6;200906
74072;2009;7;200907
74022;2009;8;200908
71508;2009;9;200909
74014;2009;10;200910
71417;2009;11;200911
21605;2009;12;200912
66172;2010;1;201001
66830;2010;2;201002
73616;2010;3;201003
71076;2010;4;201004
73665;2010;5;201005
70984;2010;6;201006
73483;2010;7;201007
73365;2010;8;201008
71115;2010;9;201009
73642;2010;10;201010
70881;2010;11;201011
25884;2010;12;201012
55556;2011;1;201101
70980;2011;2;201102
78300;2011;3;201103
76119;2011;4;201104
78587;2011;5;201105
75727;2011;6;201106
78720;2011;7;201107
78854;2011;8;201108
76252;2011;9;201109
78571;2011;10;201110
63047;2011;11;201111
80905;2012;1;201201
78450;2012;2;201202
83375;2012;3;201203
81293;2012;4;201204
83937;2012;5;201205
80823;2012;6;201206
84412;2012;7;201207
83440;2012;8;201208
81275;2012;9;201209
72803;2012;10;201210
