valor_total;ano;mes;ano_mes
627114,479999991;2009;1;200901
625200,949999998;2009;2;200902
696450,119999996;2009;3;200903
667370,479999988;2009;4;200904
698447,24;2009;5;200905
669458,949999999;2009;6;200906
697602,500000006;2009;7;200907
697113,989999993;2009;8;200908
671717,140000003;2009;9;200909
695400,530000007;2009;10;200910
670109,87;2009;11;200911
204567,849999999;2009;12;200912
622276,860000007;2010;1;201001
624851,629999997;2010;2;201002
694967,719999991;2010;3;201003
671595,010000003;2010;4;201004
690536,329999998;2010;5;201005
670173,029999997;2010;6;201006
690734,690000008;2010;7;201007
688324,039999998;2010;8;201008
665024,549999997;2010;9;201009
692724,300000001;2010;10;201010
666206,82;2010;11;201011
243139,119999999;2010;12;201012
520773,540000001;2011;1;201101
667560,709999999;2011;2;201102
734782,239999994;2011;3;201103
714882,149999998;2011;4;201104
736883,660000003;2011;5;201105
711531,909999991;2011;6;201106
740967,529999998;2011;7;201107
745916,43;2011;8;201108
715324,749999986;2011;9;201109
740265,839999998;2011;10;201110
591665,34;2011;11;201111
759541,389999992;2012;1;201201
735049,920000002;2012;2;201202
783624,820000011;2012;3;201203
764005,609999989;2012;4;201204
789553,749999992;2012;5;201205
760229,169999995;2012;6;201206
791237,590000003;2012;7;201207
785463,509999999;2012;8;201208
766520,460000007;2012;9;201209
685327,87999999;2012;10;201210
